date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/5/2020,Brunei,0,0,,,,,,
1/12/2020,Brunei,0,0,,,,,,
1/19/2020,Brunei,0,0,,,,,,
1/26/2020,Brunei,0,0,,,,,,
2/2/2020,Brunei,0,0,,,,,,
2/9/2020,Brunei,0,0,,,0,0,,
2/16/2020,Brunei,0,0,,,0,0,,
2/23/2020,Brunei,0,0,,,0,0,,
3/1/2020,Brunei,0,0,,,0,0,,
3/8/2020,Brunei,0,0,,,0,0,,
3/15/2020,Brunei,40,0,40,,40,0,,
3/22/2020,Brunei,43,0,83,,83,0,,
3/29/2020,Brunei,37,1,120,1,120,1,120,1
4/5/2020,Brunei,15,0,135,1,135,1,135,1
4/12/2020,Brunei,1,0,136,1,136,1,136,1
4/19/2020,Brunei,1,0,137,1,137,1,137,1
4/26/2020,Brunei,1,0,138,1,138,1,138,1
5/3/2020,Brunei,0,0,138,1,98,1,138,1
5/10/2020,Brunei,3,0,141,1,58,1,141,1
5/17/2020,Brunei,0,0,141,1,21,0,141,1
5/24/2020,Brunei,0,0,141,1,6,0,141,1
5/31/2020,Brunei,0,1,141,2,5,1,141,2
6/7/2020,Brunei,0,0,141,2,4,1,141,2
6/14/2020,Brunei,0,0,141,2,3,1,141,2
6/21/2020,Brunei,0,1,141,3,3,2,101,3
6/28/2020,Brunei,0,0,141,3,0,2,58,3
7/5/2020,Brunei,0,0,141,3,0,2,21,2
7/12/2020,Brunei,0,0,141,3,0,2,6,2
7/19/2020,Brunei,0,0,141,3,0,1,5,2
7/26/2020,Brunei,0,0,141,3,0,1,4,2
8/2/2020,Brunei,0,0,141,3,0,1,3,2
8/9/2020,Brunei,1,0,142,3,1,0,4,2
8/16/2020,Brunei,0,0,142,3,1,0,1,2
8/23/2020,Brunei,1,0,143,3,2,0,2,2
8/30/2020,Brunei,1,0,144,3,3,0,3,2
9/6/2020,Brunei,1,0,145,3,4,0,4,1
9/13/2020,Brunei,0,0,145,3,4,0,4,1
9/20/2020,Brunei,0,0,145,3,4,0,4,1
9/27/2020,Brunei,1,0,146,3,4,0,5,0
10/4/2020,Brunei,0,0,146,3,4,0,5,0
10/11/2020,Brunei,0,0,146,3,3,0,5,0
10/18/2020,Brunei,1,0,147,3,3,0,6,0
10/25/2020,Brunei,1,0,148,3,3,0,7,0
11/1/2020,Brunei,0,0,148,3,3,0,7,0
11/8/2020,Brunei,0,0,148,3,3,0,7,0
11/15/2020,Brunei,0,0,148,3,2,0,6,0
11/22/2020,Brunei,0,0,148,3,2,0,6,0
11/29/2020,Brunei,2,0,150,3,4,0,7,0
12/6/2020,Brunei,1,0,151,3,4,0,7,0
12/13/2020,Brunei,1,0,152,3,4,0,7,0
12/20/2020,Brunei,0,0,152,3,4,0,7,0
12/27/2020,Brunei,0,0,152,3,4,0,7,0
1/3/2021,Brunei,20,0,172,3,24,0,26,0
1/10/2021,Brunei,1,0,173,3,25,0,27,0
1/17/2021,Brunei,1,0,174,3,24,0,28,0
1/24/2021,Brunei,1,0,175,3,24,0,28,0
1/31/2021,Brunei,5,0,180,3,28,0,32,0
2/7/2021,Brunei,1,0,181,3,29,0,33,0
2/14/2021,Brunei,3,0,184,3,32,0,36,0
2/21/2021,Brunei,1,0,185,3,13,0,37,0
2/28/2021,Brunei,1,0,186,3,13,0,38,0
3/7/2021,Brunei,4,0,190,3,16,0,40,0
3/14/2021,Brunei,9,0,199,3,24,0,48,0
3/21/2021,Brunei,7,0,206,3,26,0,54,0
3/28/2021,Brunei,1,0,207,3,26,0,55,0
4/4/2021,Brunei,7,0,214,3,30,0,62,0
4/11/2021,Brunei,5,0,219,3,34,0,47,0
4/18/2021,Brunei,2,0,221,3,35,0,48,0
4/25/2021,Brunei,2,0,223,3,33,0,49,0
5/2/2021,Brunei,4,0,227,3,28,0,52,0
5/9/2021,Brunei,3,0,230,3,24,0,50,0
5/16/2021,Brunei,2,0,232,3,25,0,51,0
5/23/2021,Brunei,4,0,236,3,22,0,52,0
5/30/2021,Brunei,6,0,242,3,23,0,57,0
6/6/2021,Brunei,2,0,244,3,23,0,58,0
6/13/2021,Brunei,6,0,250,3,27,0,60,0
6/20/2021,Brunei,5,0,255,3,28,0,56,0
6/27/2021,Brunei,4,0,259,3,29,0,53,0
7/4/2021,Brunei,3,0,262,3,30,0,55,0
7/11/2021,Brunei,13,0,275,3,39,0,61,0
7/18/2021,Brunei,16,0,291,3,49,0,72,0
7/25/2021,Brunei,30,0,321,3,77,0,100,0
8/1/2021,Brunei,17,0,338,3,88,0,115,0
8/8/2021,Brunei,26,0,364,3,109,0,137,0
8/15/2021,Brunei,359,1,723,4,464,1,493,1
8/22/2021,Brunei,1046,7,1769,11,1507,8,1537,8
8/29/2021,Brunei,796,5,2565,16,2290,13,2329,13
9/5/2021,Brunei,764,4,3329,20,3038,17,3087,17
9/12/2021,Brunei,834,5,4163,25,3842,22,3919,22
9/19/2021,Brunei,884,7,5047,32,4709,29,4797,29
9/26/2021,Brunei,1493,6,6540,38,6176,35,6285,35
10/3/2021,Brunei,1176,6,7716,44,6993,40,7457,41
10/10/2021,Brunei,1264,5,8980,49,7211,38,8718,46
10/17/2021,Brunei,1880,7,10860,56,8295,40,10585,53
10/24/2021,Brunei,1253,1,12113,57,8784,37,11822,54
10/31/2021,Brunei,1017,1,13130,58,8967,33,12809,55
11/7/2021,Brunei,652,3,13782,61,8735,29,13444,58
11/14/2021,Brunei,433,0,14215,61,7675,23,13851,58
11/21/2021,Brunei,376,0,14591,61,6875,17,13868,57
11/28/2021,Brunei,445,0,15036,61,6056,12,13267,50
12/5/2021,Brunei,150,0,15186,61,4326,5,12621,45
12/12/2021,Brunei,162,0,15348,61,3235,4,12019,41
12/19/2021,Brunei,54,0,15402,61,2272,3,11239,36
12/26/2021,Brunei,45,0,15447,61,1665,0,10400,29
1/2/2022,Brunei,52,1,15499,62,1284,1,8959,24
1/9/2022,Brunei,135,0,15634,62,1043,1,7918,18
1/16/2022,Brunei,247,0,15881,62,845,1,6901,13
1/23/2022,Brunei,251,0,16132,62,946,1,5272,6
1/30/2022,Brunei,281,0,16413,62,1065,1,4300,5
2/6/2022,Brunei,1371,0,17784,62,2382,1,4654,4
2/13/2022,Brunei,4731,2,22515,64,7068,3,8733,3
2/20/2022,Brunei,12464,3,34979,67,19480,5,20764,6
2/27/2022,Brunei,24468,6,59447,73,43813,11,44856,12
3/6/2022,Brunei,29402,11,88849,84,72968,22,73813,23
3/13/2022,Brunei,23244,8,112093,92,95961,30,96907,31
3/20/2022,Brunei,12623,2,124716,94,108303,32,109368,33
3/27/2022,Brunei,6687,6,131403,100,113619,38,116001,39
4/3/2022,Brunei,4571,0,135974,100,113459,36,120527,39
4/10/2022,Brunei,2556,1,138530,101,103551,34,123031,39
4/17/2022,Brunei,1493,0,140023,101,80576,28,124389,39
