location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Brunei,BRN,2/4/2021,0,0,,,,,0,0,,,,,
Brunei,BRN,3/4/2021,754,754,,,754,754,0.17,0.17,,,1679,754,0.168
Brunei,BRN,4/4/2021,822,822,,,68,411,0.18,0.18,,,915,411,0.092
Brunei,BRN,5/4/2021,1214,1214,,,392,405,0.27,0.27,,,902,405,0.09
Brunei,BRN,6/4/2021,2560,2560,,,1346,640,0.57,0.57,,,1425,640,0.143
Brunei,BRN,7/4/2021,3194,3194,,,634,639,0.71,0.71,,,1423,639,0.142
Brunei,BRN,8/4/2021,4026,4026,,,832,671,0.9,0.9,,,1494,671,0.149
Brunei,BRN,9/4/2021,4341,4341,,,315,620,0.97,0.97,,,1381,620,0.138
Brunei,BRN,10/4/2021,5028,5028,,,687,611,1.12,1.12,,,1361,611,0.136
Brunei,BRN,11/4/2021,5145,5145,,,117,618,1.15,1.15,,,1376,618,0.138
Brunei,BRN,12/4/2021,6090,6090,,,945,697,1.36,1.36,,,1552,697,0.155
Brunei,BRN,13/4/2021,6638,6638,,,548,583,1.48,1.48,,,1298,583,0.13
Brunei,BRN,14/4/2021,6701,6701,,,63,501,1.49,1.49,,,1116,501,0.112
Brunei,BRN,15/4/2021,7503,7503,,,802,497,1.67,1.67,,,1107,497,0.111
Brunei,BRN,16/4/2021,7725,7725,,,222,483,1.72,1.72,,,1076,483,0.108
Brunei,BRN,17/4/2021,8454,8454,,,729,489,1.88,1.88,,,1089,489,0.109
Brunei,BRN,18/4/2021,,,,,,519,,,,,1156,519,0.116
Brunei,BRN,19/4/2021,9099,9099,,,,430,2.03,2.03,,,958,430,0.096
Brunei,BRN,20/4/2021,9861,9861,,,762,460,2.2,2.2,,,1024,460,0.102
